timestamp,event,trade_time,direction,confidence,atr_norm,sl,tp,volume
2026-02-02 09:35:02,OPEN_TRADE,2026-02-02 13:35:00+02:00,SHORT,0.73072445,0.0008153183078080482,8.438361039194042,12.376262857484598,1.0
2026-02-02 09:40:02,OPEN_TRADE,2026-02-02 13:40:00+02:00,SHORT,0.7560773,0.0007931028851113342,8.209626067080826,12.040784898385214,1.0
2026-02-02 09:45:03,OPEN_TRADE,2026-02-02 13:45:00+02:00,SHORT,0.6340344,0.0007782818808741325,8.054015021541321,11.81255536492727,1.0
2026-02-02 09:50:03,OPEN_TRADE,2026-02-02 13:50:00+02:00,SHORT,0.7172635,0.0007722750513273192,7.995769050793683,11.72712794116407,1.0
2026-02-02 09:55:04,OPEN_TRADE,2026-02-02 13:55:00+02:00,SHORT,0.711964,0.0007464916136829898,7.726020241005866,11.331496353475272,1.0
2026-02-02 10:00:04,OPEN_TRADE,2026-02-02 14:00:00+02:00,SHORT,0.5854464,0.0007239478698365921,7.493370836056965,10.990277226216882,1.0
2026-02-02 10:05:04,OPEN_TRADE,2026-02-02 14:05:00+02:00,SHORT,0.64461625,0.0007206872796353074,7.458410674127787,10.939002322054089,1.0
2026-02-02 10:10:05,OPEN_TRADE,2026-02-02 14:10:00+02:00,SHORT,0.67707425,0.0007219328059641511,7.47048848283644,10.956716441493446,1.0
2026-02-02 10:15:00,OPEN_TRADE,2026-02-02 14:15:00+02:00,SHORT,0.5977025,0.0006943520799719593,7.185606652401816,10.538889756855998,1.0
2026-02-02 10:20:00,OPEN_TRADE,2026-02-02 14:20:00+02:00,SHORT,0.6186239,0.0006724419012900893,6.959874544637618,10.207815998801841,1.0
2026-02-02 10:25:01,OPEN_TRADE,2026-02-02 14:25:00+02:00,SHORT,0.6196345,0.0006770980449493513,7.006796771098248,10.276635264277433,1.0
2026-02-02 10:30:01,OPEN_TRADE,2026-02-02 14:30:00+02:00,SHORT,0.61330056,0.0006497343865298276,6.724117409556849,9.862038867350046,1.0
